,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
299,Jamie Colleen," Nov 02, 1985", 4-1-0,115,Orthodox,,63,65
300,Jake Collier," Oct 25, 1988", 12-6-0,230,Orthodox,THE PROTOTYPE,75,78
301,Carlos Condit," Apr 26, 1984", 32-14-0,170,Orthodox,THE NATURAL BORN KILLER,74,75
302,Montserrat Conejo," Feb 03, 1993", 10-2-0,115,Southpaw,,60,61
303,Tristan Connelly," Dec 12, 1985", 14-7-0,170,Orthodox,BOONDOCK,70,68
304,Amanda Cooper," Oct 22, 1991", 3-5-0,115,Switch,ABC,63,64
305,Chris Cope," Mar 05, 1983", 8-4-0,170,Orthodox,C-MURDER,72,72
306,Michael Cora," Aug 24, 1989", 4-1-0,170,Southpaw,KOOKIE MONSTER,73,77
307,Akira Corassani," Aug 27, 1982", 12-6-0 (1 NC),145,Orthodox,,68,68
308,Daniel Cormier," Mar 20, 1979", 22-3-0 (1 NC),235,Orthodox,DC,71,72
309,Bethe Correia," Jun 22, 1983", 11-5-1,135,Orthodox,PITBULL,65,64
310,Tracy Cortez," Dec 10, 1993", 9-1-0,135,Orthodox,,65,65
311,Louis Cosce," Aug 27, 1995", 7-1-0,170,Orthodox,,69,71
312,Orion Cosce," Jul 15, 1994", 7-1-0,170,Switch,GALAXY,71,71
313,Paulo Costa," Apr 21, 1991", 13-1-0,185,Orthodox,THE ERASER,73,72
314,Randy Costa," Jul 06, 1994", 6-2-0,135,Switch,THE ZOHAN,69,73
315,Oscar Cota," Oct 15, 1984", 11-3-0 (1 NC),230,Orthodox,ELEVATION,72,72
316,Patrick Cote," Feb 29, 1980", 23-11-0,170,Orthodox,THE PREDATOR,71,75
317,Rashad Coulter," Nov 27, 1981", 9-4-0,205,Orthodox,DAYWALKER,71,76
318,Randy Couture," Jun 22, 1963", 19-11-0,205,Orthodox,THE NATURAL,73,75
319,Ryan Couture," Aug 27, 1982", 11-5-0,155,Orthodox,,70,73
320,Colby Covington," Feb 22, 1988", 16-2-0,170,Orthodox,CHAOS,71,72
321,Nathan Coy," Jul 24, 1978", 15-7-0,170,Southpaw,SOULFORCE,70,69
322,Andrew Craig," Jan 15, 1986", 9-4-0,170,Orthodox,HIGHLIGHT,73,76
323,Paul Craig," Nov 27, 1987", 15-4-1,205,Orthodox,BEARJEW,75,76
324,Tim Credeur," Jul 09, 1977", 12-4-0,185,Orthodox,,75,75
325,Kevin Croom," Jul 15, 1987", 21-13-0 (1 NC),155,Orthodox,CRASH,71,73
326,Ken Cross," Oct 04, 1994", 11-3-0,155,Southpaw,THE BOSS,72,72
327,Allen Crowder," Nov 08, 1989", 10-4-0 (1 NC),245,Orthodox,PRETTY BOY,75,76
328,Daron Cruickshank," Jun 11, 1985", 18-10-0 (1 NC),155,Switch,DETROIT SUPERSTAR,68,72
329,Jimmy Crute," Mar 04, 1996", 12-2-0,205,Orthodox,,74,74
330,Dominick Cruz," Mar 09, 1985", 23-3-0,135,Orthodox,THE DOMINATOR,68,68
331,Aalon Cruz," Sep 20, 1989", 8-4-0,145,Switch,,72,78
332,Josh Culibao," May 24, 1994", 9-1-1,145,Orthodox,KUYA,70,73
333,Zak Cummings," Aug 02, 1984", 24-7-0,185,Southpaw,,72,75
334,Patrick Cummins," Nov 16, 1980", 10-7-0,205,Orthodox,DURKIN,74,76
335,Luke Cummo," Apr 27, 1980", 6-6-0,170,Orthodox,,72,74
336,Alton Cunningham," Jun 24, 1993", 4-2-0,205,Orthodox,THE BO-MAN,74,77
337,Jeff Curran," Sep 02, 1977", 36-18-1,135,Orthodox,BIG FROG,66,69
338,Kailin Curran," Apr 11, 1991", 4-5-0,115,Orthodox,,64,65
339,Ion Cutelaba," Dec 14, 1993", 15-6-1 (1 NC),205,Southpaw,THE HULK,73,75
340,Henrique da Silva," Sep 01, 1989", 14-5-0,205,Orthodox,FRANKENSTEIN,75,76
341,Alex Da Silva," Feb 04, 1996", 21-3-0,155,Orthodox,LEKO,68,73
342,Nicolas Dalby," Nov 16, 1984", 19-4-1 (2 NC),170,Orthodox,DANISH DYNAMITE,71,74
343,Paul Daley," Feb 21, 1983", 39-15-2,170,Orthodox,SEMTEX,69,76
344,Aisling Daly," Dec 24, 1987", 16-6-0,115,Orthodox,AIS THE BASH,62,64
345,Rodrigo Damm," Feb 03, 1980", 13-9-0,155,Orthodox,,67,71
346,Danaa Batgerel," Jul 04, 1989", 9-2-0,135,Orthodox,STORM,67,70
347,Jarjis Danho," Oct 15, 1983", 7-1-1 (1 NC),265,Orthodox,MAN MOUNTAIN,75,74
348,Mac Danzig," Jan 02, 1980", 21-12-1,155,Orthodox,,68,70
349,Karen Darabedyan," Dec 18, 1986", 13-6-0,155,Orthodox,,67,68
350,Beneil Dariush," May 06, 1989", 21-4-1,155,Southpaw,,70,72
351,Kyle Daukaus," Feb 27, 1993", 10-2-0,185,Southpaw,,75,76
352,Chris Daukaus," Sep 25, 1989", 11-3-0,250,Orthodox,,75,76
353,Marcus Davis," Aug 24, 1973", 22-11-0 (1 NC),170,Southpaw,THE IRISH HAND GRENADE,70,70
354,LC Davis," Oct 28, 1980", 23-8-0,135,Southpaw,,68,69
355,Phil Davis," Sep 25, 1984", 17-4-0 (1 NC),205,Orthodox,MR. WONDERFUL,74,79
356,Alexis Davis," Oct 04, 1984", 20-11-0,135,Orthodox,,66,68
357,Brandon Davis," May 08, 1990", 10-8-0,135,Orthodox,KILLER B,70,72
358,Hakeem Dawodu," Jul 02, 1991", 12-2-1,145,Orthodox,MEAN,68,73
359,Grant Dawson," Feb 20, 1994", 17-1-0,145,Switch,KGD,70,72
360,Jason Day," May 19, 1981", 19-12-0,185,Orthodox,DOOMS,72,72
361,Martin Day," Nov 10, 1988", 8-6-0,145,Orthodox,THE SPARTAN,70,73
362,Yorgan De Castro," Dec 19, 1986", 6-3-0,250,Orthodox,THE MAD TITAN,72,74
363,Geraldo de Freitas," Sep 30, 1991", 12-6-0,135,Orthodox,SPARTAN,67,72
364,Philip De Fries," Apr 21, 1986", 12-6-0 (1 NC),250,Orthodox,,77,79
365,Chris de la Rocha," May 15, 1979", 5-3-0,250,Orthodox,,75,80
366,Montana De La Rosa," Feb 14, 1995", 12-6-1,125,Orthodox,,67,68
367,Mark De La Rosa," Aug 31, 1994", 11-5-0,135,Orthodox,BUMBLEBEE,66,65
368,Mike de la Torre," Sep 22, 1986", 14-7-0 (1 NC),145,Orthodox,EL CUCUY,71,71
369,Isabela de Padua," Sep 04, 1991", 5-2-0,125,Orthodox,BELINHA,63,64
370,Gloria de Paula," Jun 10, 1995", 5-4-0,115,Orthodox,GLORINHA,65,67
371,Germaine de Randamie," Apr 24, 1984", 10-4-0,135,Orthodox,THE IRON LADY,69,71
372,Rolando Delgado," Nov 22, 1981", 11-6-1,155,Orthodox,ROLI,75,77
373,Roland Delorme," Dec 18, 1983", 9-5-0 (1 NC),135,Orthodox,,69,71
374,Jon Delos Reyes," Aug 19, 1987", 8-5-0,125,Orthodox,THE HEAT,66,67
375,Vanessa Demopoulos," Sep 22, 1988", 5-2-0,115,Orthodox,LIL MONSTER,62,59
376,Chris Dempsey," Sep 08, 1987", 11-5-0,185,Orthodox,,70,72
377,Jason Dent," Jun 12, 1980", 22-13-0,155,Orthodox,DYNAMITE,70,71
378,Mackenzie Dern," Mar 24, 1993", 11-1-0,115,Orthodox,,64,63
379,Tony DeSouza," Jul 26, 1974", 11-4-0,170,Southpaw,,72,70
380,Alessio Di Chirico," Dec 12, 1989", 13-5-0,185,Orthodox,MANZO,72,74
381,Micol Di Segni," Dec 29, 1987", 7-3-0,115,Orthodox,,63,60
382,Cyrille Diabate," Oct 06, 1973", 19-10-1,205,Southpaw,THE SNAKE,78,81
383,Marc Diakiese," Mar 16, 1993", 14-4-0,155,Orthodox,BONECRUSHER,70,73
384,Tyler Diamond," Mar 18, 1991", 9-1-0,145,Orthodox,,67,69
385,Hacran Dias," Jun 16, 1984", 23-6-1,155,Orthodox,BARNABE,68,69
386,Nick Diaz," Aug 02, 1983", 26-9-0 (2 NC),185,Southpaw,,73,76
387,Nate Diaz," Apr 16, 1985", 21-13-0,170,Southpaw,,72,76
388,Seth Dikun," Aug 05, 1980", 9-8-0,135,Orthodox,,70,69
389,TJ Dillashaw," Feb 07, 1986", 18-4-0,135,Orthodox,,66,67
390,Matt Dixon," Oct 09, 1995", 9-1-0,170,Switch,MAGIC,70,75
391,Russell Doane," Aug 13, 1986", 15-8-0,135,Orthodox,,67,70
392,Drew Dober," Oct 19, 1988", 23-11-0 (1 NC),155,Southpaw,,68,70
393,Shana Dobson," Mar 30, 1989", 4-5-0,125,Orthodox,DANGER,66,69
394,John Dodson," Sep 26, 1984", 22-12-0,135,Orthodox,THE MAGICIAN,63,66
395,Joe Doerksen," Oct 09, 1977", 51-16-0,185,Orthodox,EL DIRTE,72,75
396,Roman Dolidze," Jul 15, 1988", 9-1-0,205,Orthodox,,74,76
397,CB Dollaway," Aug 10, 1983", 17-9-0,185,Orthodox,THE DOBERMAN,74,76
398,Cody Donovan," Feb 20, 1981", 8-5-0,205,Orthodox,DONNYBROOK,75,74
399,Rafael Dos Anjos," Oct 26, 1984", 30-13-0,155,Southpaw,,68,70
400,Junior Dos Santos," Jan 30, 1984", 21-9-0,238,Orthodox,CIGANO,76,77
401,Anderson Dos Santos," Jul 24, 1985", 21-8-0,135,Orthodox,BERINJA,65,70
402,Tiago dos Santos e Silva," Apr 12, 1987", 20-7-2 (1 NC),145,Orthodox,TRATOR,69,70
403,Danny Downes," Apr 08, 1986", 8-3-0,155,Orthodox,,72,72
404,Kyle Driscoll," Sep 23, 1994", 12-3-0,145,Orthodox,KD,71,74
405,Tomasz Drwal," Jan 22, 1982", 21-5-1,205,Orthodox,GORILLA,73,76
406,Dricus Du Plessis," Jan 14, 1994", 16-2-0,185,Switch,STILLKNOCKS,73,76
407,Todd Duffee," Dec 06, 1985", 9-3-0 (1 NC),260,Orthodox,,75,78
408,Joe Duffy," Feb 18, 1988", 16-5-0,155,Orthodox,IRISH,70,73
409,Jessamyn Duke," Jun 24, 1986", 3-5-0 (1 NC),135,Orthodox,THE GUN,71,73
410,Norma Dumont," Oct 01, 1990", 6-1-0,145,Orthodox,THE IMMORTAL,67,67
411,Evan Dunham," Dec 18, 1981", 18-9-1,155,Southpaw,,70,70
412,Tom Duquesnoy," Jun 21, 1993", 16-2-0 (1 NC),135,Orthodox,FIRE KID,67,68
413,Reuben Duran," Jul 02, 1983", 11-7-1,135,Orthodox,,67,71
414,Cody Durden," Mar 29, 1991", 11-3-1,125,Southpaw,,67,67
415,Merab Dvalishvili," Jan 10, 1991", 13-4-0,135,Orthodox,THE MACHINE,66,68
416,David Dvorak," Jun 05, 1992", 20-3-0,125,Orthodox,UNDERTAKER,65,68
417,Matt Dwyer," Dec 17, 1989", 9-4-0,170,Orthodox,,76,76
418,Rolando Dy," Aug 11, 1990", 9-7-1 (1 NC),145,Orthodox,DY INCREDIBLE,68,69
419,Marvin Eastman," Jun 08, 1971", 18-15-1,185,Orthodox,THE BEASTMAN,69,73
420,Mike Easton," Jan 25, 1984", 13-6-0,135,Southpaw,THE HULK,66,70
421,Brian Ebersole," Nov 27, 1980", 51-18-1 (1 NC),170,Southpaw,BAD BOY,72,73
422,Mark Eddiva," Feb 16, 1986", 6-3-0,145,Orthodox,,68,68
423,Frankie Edgar," Oct 16, 1981", 23-9-1,135,Orthodox,THE ANSWER,66,68
424,Johnny Eduardo," Aug 03, 1978", 28-12-0,135,Orthodox,,67,71
425,Yves Edwards," Sep 30, 1976", 42-22-1 (1 NC),155,Southpaw,,69,73
426,Justin Edwards," Jan 26, 1983", 9-5-0,155,Orthodox,FAST EDDY,70,70
427,Leon Edwards," Aug 25, 1991", 19-3-0 (1 NC),170,Southpaw,ROCKY,74,74
428,Te Edwards," Sep 11, 1990", 6-3-0,155,Orthodox,,68,72
429,Joselyne Edwards," Sep 29, 1995", 10-3-0,135,Orthodox,LA PANTERA,68,70
430,Stephanie Egger," Aug 12, 1988", 5-2-0,135,Orthodox,,66,68
431,Darren Elkins," May 16, 1984", 27-9-0,145,Orthodox,THE DAMAGE,70,71
432,Jake Ellenberger," Mar 28, 1985", 31-15-0,170,Orthodox,THE JUGGERNAUT,69,71
433,Joe Ellenberger," Mar 28, 1985", 15-2-0,155,Orthodox,EXCALIBUR,69,72
434,Tim Elliott," Dec 24, 1986", 18-11-1,125,Southpaw,,67,66
435,Cameron Else," Apr 27, 1987", 10-5-0,135,Switch,CAMCHIDA,69,71
436,Ramazan Emeev," May 23, 1987", 20-4-0,170,Southpaw,GORETS,70,76
437,Fedor Emelianenko," Sep 28, 1976", 36-5-0 (1 NC),230,Orthodox,THE LAST EMPEROR,72,74
438,Rob Emerson," Jul 30, 1981", 18-12-0 (1 NC),155,Orthodox,THE SAINT,69,70
439,Jamall Emmers," Jul 24, 1989", 18-5-0,145,Orthodox,PRETTY BOY,70,74
440,Josh Emmett," Mar 04, 1985", 16-2-0,145,Orthodox,,66,70
441,Oliver Enkamp," Aug 10, 1991", 7-2-0,170,Switch,,72,77
442,Andy Enz," Aug 15, 1991", 10-4-0,185,Orthodox,TANK MODE,75,78
443,Julian Erosa," Jul 31, 1989", 25-10-0,145,Southpaw,JUICY J,73,74
444,Cole Escovedo," Aug 30, 1981", 17-9-0,135,Orthodox,APACHE KID,67,72
445,Efrain Escudero," Jan 15, 1986", 28-12-0,155,Orthodox,HECHO EN MEXICO,69,71
446,Carla Esparza," Oct 10, 1987", 19-6-0,115,Orthodox,COOKIE MONSTER,61,63
447,Juan Espino," Oct 09, 1980", 11-2-0,255,Unknown,EL GUAPO,75,80
448,Jordan Espinosa," Nov 08, 1989", 15-9-0 (1 NC),125,Orthodox,THE GAMER,66,69
449,Jodie Esquibel," May 07, 1986", 6-6-0,115,Orthodox,,61,64
450,Terry Etim," Jan 11, 1986", 16-5-0,155,Orthodox,,73,73
451,Sijara Eubanks," Apr 27, 1985", 8-6-0,135,Orthodox,SARJ,64,67
452,Billy Evangelista," Oct 07, 1980", 13-3-0 (1 NC),155,Orthodox,,68,68
453,Rashad Evans," Sep 25, 1979", 19-8-1,205,Orthodox,SUGA,72,75
454,Ashlee Evans-Smith," Jul 09, 1987", 6-5-0,135,Orthodox,REBEL GIRL,68,67
455,Tonya Evinger," Jun 04, 1981", 19-8-0 (1 NC),135,Orthodox,TRIPLE THREAT,67,70
456,Movsar Evloev," Feb 11, 1994", 15-0-0,145,Orthodox,,67,72
457,Andre Ewell," Jan 21, 1988", 17-8-0,135,Southpaw,MR. HIGHLIGHT,68,75
458,Jessica Eye," Jul 27, 1986", 15-10-0 (1 NC),125,Orthodox,EVIL,66,66
459,Urijah Faber," May 14, 1979", 35-11-0,135,Orthodox,THE CALIFORNIA KID,66,67
460,Melinda Fabian," Jun 25, 1987", 4-4-2,125,Unknown,,66,66
461,Wagnney Fabiano," Jul 14, 1975", 16-4-0,145,Southpaw,THE SILENCER,66,69
462,Bartosz Fabinski," Apr 26, 1986", 15-5-0,170,Orthodox,THE BUTCHER,72,75
463,Zarah Fairn," Dec 10, 1983", 6-4-0,135,Orthodox,INFINITE,68,72
464,Rico Farrington," Jun 19, 1989", 7-3-0,170,Southpaw,THE TRIGGERMAN,76,79
465,Paul Felder," Apr 25, 1984", 17-6-0,155,Orthodox,THE IRISH DRAGON,71,70
466,Carlos Felipe," Jan 12, 1995", 11-1-0,245,Orthodox,BOI,72,75
467,Kevin Ferguson," Feb 08, 1974", 5-2-0 (1 NC),235,Orthodox,KIMBO SLICE,74,77
468,Tony Ferguson," Feb 12, 1984", 26-6-0,155,Orthodox,EL CUCUY,71,76
469,Cezar Ferreira," Feb 15, 1985", 13-8-0,185,Southpaw,MUTANTE,73,78
470,Diego Ferreira," Jan 18, 1985", 17-4-0,155,Orthodox,,69,74
471,Timo Feucht," Jan 18, 1996", 8-1-0,205,Orthodox,,75,79
472,Drew Fickett," Dec 14, 1979", 42-21-0,155,Orthodox,THE MASTER,70,70
473,Deiveson Figueiredo," Dec 18, 1987", 20-2-1,125,Orthodox,DEUS DA GUERRA,65,68
474,Francisco Figueiredo," Oct 23, 1989", 12-4-1 (1 NC),135,Southpaw,SNIPER,66,68
475,Edwin Figueroa," Jul 31, 1984", 9-5-0,135,Orthodox,EL FEROZ,67,69
476,Andre Fili," Jun 25, 1990", 21-8-0 (1 NC),145,Orthodox,TOUCHY,71,74
477,Mirko Filipovic," Sep 10, 1974", 35-11-2 (1 NC),230,Southpaw,CRO COP,74,73
478,Luigi Fioravanti," Jan 22, 1981", 26-15-0,170,Orthodox,,68,70
479,Manon Fiorot," Feb 17, 1990", 7-1-0,125,Orthodox,THE BEAST,67,65
480,Spencer Fisher," May 09, 1976", 24-9-0,155,Southpaw,THE KING,67,68
481,Chris Fishgold," Jun 06, 1992", 18-4-1,145,Orthodox,,68,68
482,Jon Fitch," Feb 24, 1978", 30-7-1 (1 NC),170,Orthodox,,72,74
483,Rafael Fiziev," Mar 05, 1993", 9-1-0,155,Switch,ATAMAN,68,71
484,Jimmy Flick," Sep 07, 1990", 16-5-0,125,Orthodox,THE BRICK,67,68
485,Luke Flores," Mar 17, 1988", 9-2-0,155,Southpaw,,72,73
486,Ty Flores," Dec 22, 1993", 7-3-0,205,Switch,BIG MEDICINE,75,73
487,Alejandro Flores," Aug 06, 1991", 17-3-0,145,Orthodox,EL GALLITO,70,73
488,Kenny Florian," May 26, 1976", 14-6-0,145,Southpaw,KENFLO,70,74
489,Caros Fodor," Jan 07, 1984", 11-6-0,155,Orthodox,THE FUTURE,69,74
490,Rob Font," Jun 25, 1987", 19-4-0,135,Orthodox,,68,71
491,Jesse Forbes," Oct 24, 1984", 15-5-0,185,Southpaw,KID HERCULES,74,75
492,Jussier Formiga," Apr 14, 1985", 23-8-0,125,Orthodox,,65,67
493,Renee Forte," Mar 27, 1987", 8-4-0,155,Orthodox,,67,71
494,Marcel Fortuna," Oct 22, 1985", 9-3-0,205,Orthodox,,73,74
495,Brian Foster," Apr 03, 1984", 27-10-0,170,Orthodox,THE FOSTER BOY,69,71
496,Hermes Franca," Aug 26, 1974", 24-17-0 (1 NC),155,Orthodox,,66,71
497,Glaico Franca Moreira," Feb 28, 1991", 15-5-0,155,Orthodox,NEGO,72,77
498,John Franchi," Jul 16, 1982", 6-2-0,145,Orthodox,,66,67
499,Rich Franklin," Oct 05, 1974", 29-7-0 (1 NC),185,Southpaw,ACE,73,76
500,Stephanie Frausto," Sep 20, 1990", 8-7-0,115,Orthodox,LIL BOVY,62,61
501,Justin Frazier," Jun 15, 1989", 10-3-0,265,Southpaw,THE GRIZZLY BEAR,72,75
502,Patricio Freire," Jul 07, 1987", 26-4-0,145,Unknown,PITBULL,65,65
503,Patricky Freire," Jun 01, 1986", 17-8-0,155,Unknown,PITBULL,67,71
504,Matt Frevola," Jun 11, 1990", 8-3-1,155,Orthodox,THE STEAMROLLA,69,71
505,Jinh Yu Frey," May 20, 1985", 11-6-0,115,Southpaw,,63,65
506,Sarah Frota," Apr 14, 1987", 9-2-0,125,Southpaw,A TRETA,66,69
507,Riki Fukuda," Jan 06, 1981", 24-9-0 (1 NC),185,Southpaw,,72,73
508,Masio Fullen," Oct 06, 1986", 11-7-0,145,Orthodox,LOBO,70,70
509,Ricardo Funch," Aug 14, 1980", 9-6-0,170,Southpaw,GOLDEN BOY,70,74
510,Claudia Gadelha," Dec 07, 1988", 18-5-0,115,Orthodox,CLAUDINHA,64,63
511,Justin Gaethje," Nov 14, 1988", 22-3-0,155,Orthodox,THE HIGHLIGHT,71,70
512,Mitch Gagnon," Oct 10, 1984", 12-5-0,135,Southpaw,,65,65
513,Mickey Gall," Jan 22, 1992", 7-3-0,170,Switch,,74,74
514,Manvel Gamburyan," May 08, 1981", 15-10-0 (1 NC),135,Orthodox,THE ANVIL,65,67
515,Mateusz Gamrot," Dec 11, 1990", 19-1-0 (1 NC),155,Southpaw,GAMER,70,70
516,Shamil Gamzatov," Aug 09, 1990", 14-0-0,205,Orthodox,,74,76
517,Ciryl Gane," Apr 12, 1990", 9-0-0,245,Orthodox,BON GAMIN,76,81
518,Eduardo Garagorri," May 28, 1989", 13-2-0,145,Orthodox,,69,70
519,Cody Garbrandt," Jul 07, 1991", 12-4-0,135,Orthodox,NO LOVE,68,65
520,Leonard Garcia," Jul 14, 1979", 18-13-1,145,Orthodox,BAD BOY,70,68
521,Edgar Garcia," Feb 22, 1984", 14-5-0,170,Orthodox,,70,71
522,Alex Garcia," Jul 14, 1987", 15-6-0,170,Orthodox,THE DOMINICAN NIGHTMARE,69,72
523,Steve Garcia," May 22, 1992", 11-4-0,155,Southpaw,MEAN MACHINE,72,75
524,Elias Garcia," Sep 13, 1992", 6-2-0,125,Southpaw,,65,67
525,Rafa Garcia," Aug 05, 1994", 12-2-0,155,Orthodox,GIFTED,67,70
526,Pablo Garza," Sep 16, 1983", 12-4-0,145,Orthodox,THE SCARECROW,73,73
527,Kelvin Gastelum," Oct 24, 1991", 17-7-0 (1 NC),185,Southpaw,,69,71
528,Willie Gates," Jan 21, 1987", 12-7-0,125,Orthodox,,68,72
529,Louis Gaudinot," Aug 28, 1984", 8-4-0 (1 NC),125,Orthodox,GOODNIGHT,63,63
530,Chad George," Apr 30, 1982", 16-8-0,135,Southpaw,SAVAGE,66,68
531,Karine Gevorgyan," Mar 09, 1989", 3-3-0,125,Unknown,THE PRINCESS,64,63
532,Christos Giagos," Jan 23, 1990", 19-8-0,155,Orthodox,THE SPARTAN,70,71
533,Joe Giannetti," Jul 05, 1995", 6-1-0,155,Southpaw,,72,74
534,Cody Gibson," Sep 11, 1987", 15-7-0,135,Orthodox,THE RENEGADE,70,71
535,Chase Gibson," Feb 07, 1990", 9-5-0,155,Orthodox,EL GUERO,70,72
536,Thomas Gifford," Jul 26, 1992", 14-9-0 (2 NC),155,Orthodox,THE YOUNG LION,73,75
537,Trevin Giles," Aug 06, 1992", 14-3-0,185,Orthodox,,72,74
538,Gregor Gillespie," Nov 13, 1986", 14-1-0,155,Orthodox,THE GIFT,67,71
539,Ricky Glenn," Apr 12, 1989", 22-6-1,145,Southpaw,THE GLADIATOR,72,70
540,Mark Godbeer," Nov 22, 1983", 13-4-0,240,Orthodox,THE HAND OF,76,77
541,Loopy Godinez," Sep 06, 1993", 5-1-0,115,Orthodox,,62,61
542,Hannah Goldy," May 18, 1992", 5-2-0,125,Orthodox,24K,64,61
543,Marcelo Golm," Sep 15, 1992", 6-3-0,249,Orthodox,,75,75
544,Frank Gomez," Mar 31, 1986", 10-6-0,135,Orthodox,,70,67
545,Luis Gomez," Jan 28, 1995", 4-1-0,145,Orthodox,TIGER JUNIOR,67,68
546,Edson Gomez," Feb 23, 1991", 6-2-0,170,Switch,,68,69
547,Takanori Gomi," Sep 22, 1978", 35-14-0 (1 NC),155,Southpaw,THE FIREBALL KID,67,70
548,Akihiro Gono," Oct 07, 1974", 35-21-8,170,Switch,,67,68
549,Gabriel Gonzaga," May 18, 1979", 17-11-0,242,Orthodox,NAPAO,74,76
550,Justin Gonzales," Apr 28, 1991", 6-0-0,145,Orthodox,J-TRAIN,69,72
551,Fernando Gonzalez," Sep 15, 1983", 26-14-0,170,Southpaw,THE MENIFEE MANIAC,69,68
552,Jason Gonzalez," Feb 28, 1990", 11-5-0,155,Southpaw,NICOYA,74,74
553,Jorge Gonzalez," Feb 29, 1984", 16-4-0,205,Orthodox,STREET,74,76
554,Mikey Gonzalez," Aug 13, 1985", 7-2-0,155,Orthodox,ROLLS,71,74
555,Lyman Good," May 26, 1985", 21-6-0 (1 NC),170,Orthodox,CYBORG,72,74
556,Jared Gooden," Dec 05, 1993", 18-6-0,170,Orthodox,NITETRAIN,72,77
557,Eddie Gordon," Jul 22, 1983", 8-4-0,185,Orthodox,TRUCK,72,76
558,Jared Gordon," Sep 06, 1988", 17-4-0,145,Orthodox,FLASH,69,68
559,Malcolm Gordon," May 19, 1990", 13-5-0,125,Switch,X,67,71
560,Alex Gorgees," Aug 11, 1995", 6-1-0,155,Switch,HITMAN,74,74
561,Jonathan Goulet," Jul 13, 1979", 23-12-0 (1 NC),170,Orthodox,THE ROAD WARRIOR,72,73
562,Thibault Gouti," Feb 27, 1987", 12-5-0,155,Orthodox,GT,70,72
563,Wilson Gouveia," Oct 03, 1978", 14-8-0,185,Orthodox,,73,76
564,Damian Grabowski," May 12, 1980", 20-5-0,241,Orthodox,THE POLISH PITBULL,73,75
565,Roger Gracie," Sep 26, 1981", 8-2-0,185,Orthodox,,76,79
566,Kron Gracie," Jul 11, 1988", 5-1-0,145,Southpaw,,69,70
567,Miranda Granger," Apr 13, 1992", 7-2-0,125,Orthodox,DANGER,67,68
568,TJ Grant," Feb 26, 1984", 21-5-0,155,Orthodox,,70,72
569,Davey Grant," Dec 18, 1985", 13-5-0,135,Orthodox,DANGEROUS,68,69
570,Dwight Grant," Sep 14, 1984", 11-3-0,170,Switch,THE BODY SNATCHER,73,76
571,Alexa Grasso," Aug 09, 1993", 13-3-0,125,Orthodox,,65,66
572,Tony Gravely," Sep 28, 1991", 21-6-0,135,Orthodox,,65,69
573,Michael Graves," Jan 08, 1991", 6-0-1,170,Orthodox,,70,71
574,Shelton Graves," Oct 23, 1985", 7-3-0,255,Southpaw,THE GRAVEDIGGER,74,76
575,Kevin Gray," May 03, 1985", 9-4-0,125,Orthodox,POCKET HERC,64,67
576,Bobby Green," Sep 09, 1986", 27-11-1,155,Orthodox,KING,70,71
577,Desmond Green," Oct 11, 1989", 23-8-0,155,Southpaw,THE PREDATOR,70,73
578,Gabe Green," May 02, 1993", 10-3-0,170,Switch,GIFTED,70,73
579,Maurice Greene," Jul 05, 1986", 9-7-0,258,Orthodox,THE CROCHET BOSS,79,80
580,Matt Grice," Jul 29, 1981", 15-5-0,145,Orthodox,THE REAL ONE,68,70
581,Forrest Griffin," Mar 16, 1979", 19-7-0,205,Orthodox,,75,77
582,Tyson Griffin," Apr 20, 1984", 16-8-0,145,Orthodox,,66,68
583,Max Griffin," Nov 29, 1985", 18-8-0,170,Orthodox,PAIN,71,76
584,Jordan Griffin," Feb 28, 1990", 18-9-0,145,Southpaw,NATIVE PSYCHO,70,73
585,Chad Griggs," May 15, 1978", 11-3-0,205,Orthodox,THE GRAVE DIGGER,73,73
586,Maxim Grishin," May 02, 1984", 31-9-2,220,Orthodox,MAXIMUS,75,78
587,Josh Grispi," Oct 14, 1988", 14-5-0,145,Orthodox,THE FLUKE,71,74
588,Kendall Grove," Nov 12, 1982", 23-17-0 (1 NC),185,Orthodox,DA SPYDER,78,79
589,Chris Gruetzemacher," Jun 16, 1986", 15-4-0,155,Orthodox,GRITZ,68,68
590,Vik Grujic," Feb 06, 1977", 6-6-0,170,Orthodox,THE SPARTAN,71,73
591,Mike Grundy," Jan 03, 1987", 12-3-0,145,Orthodox,,67,72
592,Wang Guan," Mar 14, 1986", 20-1-1,145,Orthodox,THE DONGBEI TIGER,69,71
593,Shannon Gugerty," Dec 30, 1981", 15-7-0,155,Orthodox,,70,71
594,Clay Guida," Dec 08, 1981", 36-17-0,155,Orthodox,THE CARPENTER,67,70
595,Melvin Guillard," Mar 30, 1983", 32-18-2 (3 NC),155,Orthodox,THE YOUNG ASSASSIN,69,71
596,Marcelo Guimaraes," Jun 25, 1983", 9-2-1,185,Orthodox,MAGRAO,72,73
597,John Gunderson," Jan 05, 1979", 35-16-2,155,Orthodox,QUICK GUNS,69,69
598,John Gunther," Nov 24, 1985", 5-1-0,155,Orthodox,THE MACHINE,69,72
599,Jorge Gurgel," Jan 25, 1977", 14-10-0,155,Orthodox,,67,69
600,Alexander Gustafsson," Jan 15, 1987", 18-7-0,205,Orthodox,THE MAULER,77,79
